id,image_id,legend_name,notice_time,start_time,end_time
64,109801,[阴阳八卦☆开运服]小林历奇,2026-08-23 05:00:00,2026-08-23 05:00:00,2026-08-26 04:59:59
65,105301,[黑铁的壮志]青竹回忆,2026-09-08 12:00:00,2026-09-08 12:00:00,2026-09-11 04:59:59
66,101002,[Bubblegum☆Memories]大树快车,2026-09-11 05:00:00,2026-09-11 05:00:00,2026-09-14 04:59:59
67,106801,[锦绣·溢彩盛典]北部玄驹,2026-09-28 12:00:00,2026-09-28 12:00:00,2026-10-01 04:59:59
68,106701,[Natural Brilliance]里见光钻,2026-10-01 05:00:00,2026-10-01 05:00:00,2026-10-04 04:59:59
70,102102,[轰鸣雷神]玉藻十字,2026-10-18 12:00:00,2026-10-18 12:00:00,2026-10-21 04:59:59
71,104801,[潮流☆Joker]岛川乔丹,2026-10-21 05:00:00,2026-10-21 05:00:00,2026-10-24 04:59:59
72,100602,[奇迹的胜利之星]小栗帽,2026-11-06 12:00:00,2026-11-06 12:00:00,2026-11-09 04:59:59
73,102501,[Creeping Black]曼城茶座,2026-11-09 05:00:00,2026-11-09 05:00:00,2026-11-12 04:59:59
74,106901,[举世无双·樱花耀夜]樱花千代王,2026-11-25 12:00:00,2026-11-25 12:00:00,2026-11-28 04:59:59
75,102602,[CODE：淋面装饰]美浦波旁,2026-11-28 05:00:00,2026-11-28 05:00:00,2026-12-01 04:59:59
76,104201,[Rocket☆Star]采珠,2026-12-13 12:00:00,2026-12-13 12:00:00,2026-12-16 04:59:59
77,106102,[洁白傲气的激励之服]帝王光辉,2026-12-16 05:00:00,2026-12-16 05:00:00,2026-12-19 04:59:59
